19 09 1950	15.1875 29.4875 0.0 4.5335455
20 09 1950	17.637499 26.887499 0.0 4.438329
21 09 1950	16.887499 27.2375 0.0 5.1980658
22 09 1950	16.0875 25.637499 0.2 5.467239
23 09 1950	13.4375 25.6875 0.0 3.5691016
24 09 1950	13.337501 26.387499 0.0 4.9504023
25 09 1950	12.6875 25.887499 0.4 3.685611
26 09 1950	19.137499 28.8375 0.70000005 3.9162567
27 09 1950	18.8375 27.887499 0.8000001 3.38086
28 09 1950	17.3375 23.4375 1.9000002 2.7460034
29 09 1950	16.2875 25.2375 0.1 3.2127118
30 09 1950	15.5375 21.8375 7.7 2.1511161
01 10 1950	17.6875 25.637499 0.0 3.8467836
02 10 1950	15.7375 23.137499 0.0 3.7923691
03 10 1950	15.9875 23.387499 0.0 4.104505
04 10 1950	12.7875 23.9375 0.5 3.0060883
05 10 1950	14.3875 23.387499 0.70000005 2.6843753
06 10 1950	16.637499 22.4875 1.3000001 2.124648
07 10 1950	15.587501 23.387499 0.2 2.6317055
08 10 1950	14.587501 24.137499 0.0 2.9633088
09 10 1950	13.4875 24.2375 0.0 3.0590594
10 10 1950	14.4375 24.287498 0.0 2.7970388
11 10 1950	14.4375 25.4375 0.0 3.0910459
12 10 1950	14.4375 25.8375 0.0 3.170506
13 10 1950	15.337501 23.2375 0.1 2.4560876
14 10 1950	13.9375 22.887499 0.0 2.801334
15 10 1950	15.5375 21.787498 2.8000002 2.202582
16 10 1950	17.387499 23.0875 2.0000002 2.3080251
17 10 1950	16.537498 23.4375 0.5 2.3014822
18 10 1950	14.8875 23.4875 0.0 2.5558443
19 10 1950	14.1375 24.387499 0.0 2.702059
20 10 1950	13.4875 23.537498 0.0 2.6381724
21 10 1950	12.9875 23.0875 0.0 2.5018241
22 10 1950	16.2375 22.887499 1.5000002 2.261767
23 10 1950	16.4875 19.4375 33.899998 0.8157935
24 10 1950	16.6875 19.9875 15.700002 1.3767818
25 10 1950	14.8875 21.037498 0.9000001 2.1249344
26 10 1950	14.087501 17.0875 1.6000001 2.2918167
27 10 1950	12.087501 16.6875 0.0 3.214229
28 10 1950	10.1375 15.4375 0.70000005 2.001836
29 10 1950	8.3375 13.8875 0.4 1.8667235
30 10 1950	7.8375 14.5375 0.0 2.4399927
31 10 1950	10.8875 17.137499 0.0 2.8514538
01 11 1950	9.837501 20.387499 0.3 1.7834162
02 11 1950	13.1875 18.0875 1.1 1.6131107
03 11 1950	13.337501 17.8375 0.0 2.5147927
04 11 1950	12.3875 16.137499 0.0 2.6427474
05 11 1950	7.6375003 15.9375 0.0 2.3982446
06 11 1950	5.9875 15.7875 0.0 1.8619213
07 11 1950	9.6375 18.887499 0.0 1.608663
08 11 1950	9.1375 18.037498 0.0 2.1533904
09 11 1950	10.087501 17.9875 0.0 2.1640832
10 11 1950	7.9875 18.2375 0.0 1.7982215
11 11 1950	9.4875 18.4375 0.0 1.7323993
12 11 1950	12.6375 21.887499 2.8 1.9161564
13 11 1950	11.6875 17.3375 0.0 2.1010075
14 11 1950	13.2375 19.287498 0.0 1.9838889
15 11 1950	11.2375 15.4875 0.0 2.5586953
16 11 1950	11.587501 17.4875 0.0 2.066366
17 11 1950	12.337501 19.387499 0.0 1.6174436
18 11 1950	9.337501 18.1875 0.0 1.7898315
19 11 1950	7.9875 19.4875 0.0 1.5481249
20 11 1950	10.7375 15.1875 5.1 0.56275237
21 11 1950	8.2375 16.2375 0.0 1.8375307
22 11 1950	10.2875 16.3375 3.1000001 0.902053
23 11 1950	8.5375 16.9375 0.5 1.3067515
24 11 1950	6.2375 16.4375 0.0 1.4861183
25 11 1950	7.1875 18.0875 0.0 1.4660425
26 11 1950	8.1375 19.0875 0.0 1.5707731
